objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,From,To,Coordinate_From,Coordinates_To,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CLAIRE_033,CLAIRE_033_1940_District Officer Response to Ngwo Chiefs on contested Crown land.txt,,1940 District Officer Response to Ngwo Chiefs on contested Crown land,text,The officer clarified that Crown lands in Enugu were purchased and offered to surrender unused areas to original owners while maintaining government rights to retain or use them ,,Enugu people and the public,14/5/1940,yes,single-page; image,Land;  Unused;  Surrender;  Farming;  Ngwo ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_034,CLAIRE_034_1940_District Officer Leeming Report on Enugu Land.txt,,1940 District Officer Leeming Report on Enugu Land,text,"Elders of Ngwo refused to verify thumb impressions on agreements for land acquisitions, claiming fear of forgery ",,Enugu people and the public,13/3/1940,yes,single-page; image,Aerodrome;  Rent;  Dispute;  Nike;  Land ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4205° N, 7.6075° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_035,CLAIRE_035_1940_District Officer report on the the visit to Ngwo Council to to discuss Enugu Crown land.txt,,1940 District Officer report on the the visit to Ngwo Council to to discuss Enugu Crown land,text,Discussions revealed denials of prior agreements by elders and their refusal to confirm authenticity through fingerprinting ,,Enugu people and the public,26/7/1940,yes,single-page; image,Land;  Acquisition;  Custom;  Compensation;  Rent ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.4923° N, 7.4986° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_036,CLAIRE_036_1940_Samuel Onyia and Ngwo Villages Petition for three plots of Land.txt,,1940 Samuel Onyia and Ngwo Villages Petition for three plots of LAND,text,"Ngwo leaders requested specific land parcels for community use, citing their absence from government plans​ ",,Enugu people and the public,1940,yes,single-page; image,Crown Land Ngwo;  Rent;  Surrender;  Government ,Ngwo Town,"Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_037,CLAIRE_037_1940_Resident Officer  Meeting with Council Udi Division on Enugu Crown Land.txt,,1940 Resident Officer  Meeting with Council Udi Division on Enugu Crown Land,text,"The officer rejected council demands for additional land surrenders and rents, affirming existing deeds as valid ",,Enugu people and the public,1940,yes,single-page; image,Land;  Agreement;  Deeds;  Thumbprint;  Verification ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_038,CLAIRE_038_1941_ Petition by Samuel Onyi for Enugu Ngwo Town.txt,,1941 Petition by Samuel Onyi for Enugu Ngwo Town,text,"Ngwo community leaders raised grievances over land use and compensation issues, demanding resolution and accountability​ ",,Enugu people and the public,15/12/1941,yes,single-page; image,Land;  Ngwo; Verification;  Agreement;  Refusal ,Ngwo Town,"Secretary of Government of Nigeria, Lagos","6.4956° N, 7.5050° E","6.5244° N, 3.3792° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free us,,,,
CLAIRE_039,CLAIRE_039_1941_Precis on Ngwo Native Chiefs Petiti.txt,,1941 Precis on Ngwo Native Chiefs PetitiOn,text,"Ngwo chiefs challenged land acquisitions as forgeries and requested compensation, rents, and access to reclaimed land ",,Enugu people and the public,1941,yes,single-page; image,Petition;  Land;  Ngwo;  Request;  Allocation ,"Enugu, Nigeria",,,,,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free us,,,,
CLAIRE_040,CLAIRE_040_1941-District Officer Udi Division Comment on Crown Land.txt,,1941 District Officer Udi Division Comment on Crown Land,text,The officer defended the legitimacy of land deeds and outlined government payments and policies regarding land use and rents ,,Enugu people and the public,19/12/1941,yes,single-page; image,Crown Land;  Rent;  Ngwo;  Compensation;  Policy ,"District Officer, Udi Division","Resident, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_041,CLAIRE_041_1942_Petition for more rent for waterworks land.txt,,1942 Petition for more rent for waterworks land,text,"Ngwo council demanded a fair increase in rent for waterworks land, comparing their compensation to other regions​ ",,Enugu people and the public,1942,yes,single-page; image,Waterworks;  Rent;  Petition;  Compensation; Ngwo ,"Ngwo Council, Ngwo","Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_042,CLAIRE_042_1942_Response to 1942 petition for more rent for water works.txt,,1942 Response to 1942 petition for mor rent for water works,text,"Government justified offering £6 yearly rent for Ngwo waterworks land, emphasizing its low value and remote location compared to other sites​ ",,Enugu people and the public,298/9/1942,yes,single-page; image,Rent; Waterworks; Compensation; Valuation; Negotiation ,"Resident Officer, Onitsha Province","Ngwo Council, Ngwo","6.1421° N, 6.7857° E","6.4956° N, 7.5050° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_043,CLAIRE_043_1943_District Officer Report on Ngwo Water Headworks and women riot.txt,,1943 District Officer Report on Ngwo Water Headworks and women riot,text,"Ngwo women protested restrictions on waterworks land access, leading to a tense but ultimately peaceful resolution facilitated by local leadership​ ",,Enugu people and the public,16/12/1943,yes,single-page; image,Protest;  Waterworks;  Women;  Demonstration;  Access ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_044,CLAIRE_044_1943_Simeon Onyi and Ngwo Chiefs Petition for Rent.txt,,1943 Simeon Onyia and Ngwo Chiefs Petition for Rent,text,"Chiefs rejected the government’s rent proposal, insisting on adherence to a court judgment that mandated higher compensation ",,Enugu people and the public,10/09/1943,yes,single-page; image,Petition; Rent; Compensation; Judgment; Chiefs ,Ngwo Town,"Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_045,CLAIRE_045_1947_Acquisition of Land for Public Purp.txt,,1947 Acquisition of Land for Public Purposes,text,The policy encouraged leasing land for public use rather than outright acquisition to avoid local resistance​ ,,Enugu people and the public,04/06/1947,yes,single-page; image,Land; Acquisition; Lease; Policy; Government ,"Enugu, Nigeria",,,,,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_046,CLAIRE_046_1947_Land Values Established In Eastern Nigeria.txt,,1947 Land Values Established In Eastern Nigeria,text,"A record of land acquisition prices in Eastern Nigeria, detailing costs for various public projects, including Enugu's waterworks and aerodrome ",,Enugu people and the public,1947,yes,single-page; image,Land; Value; Acquisition; Projects; Enugu ,"Secretary's Office, Eastern Provinces, Enugu","Resident, Onitsha Province","6.4584° N, 7.5464° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_047,CLAIRE_047_1950_Secretary of Province Decision on Enugu Ngwo crown land.txt,,1950 Secretary of Province Decision on Enugu Ngwo crown land,text,"Government dismissed Ngwo demands for increased rents or land returns, maintaining that original compensation was fair and necessary for future development​ ",,Enugu people and the public,22/5/1950,yes,single-page; image,Crown Land; Rent; Compensation; Development;  Ngwo ,"Secretary's Office, Eastern Provinces, Enugu ","Ngwo Community, Enugu","6.4584° N, 7.5464° E ","6.4956° N, 7.5050° E ",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_049,CLAIRE_049_Miners Quarter.mp4,,"2024 Video Of Mine Quarters, Enugu",MP4,A video recording of a polish mine quarters sold to indigenous mining community,,Enugu people and the public,2024,,Mp4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Criticizing Orthodox Religion, Church in Decline,,, Jesus Christ,,,,,,,,,,,
,,,,,,,,,,,Hitler, Mussolini,,, Hirohito, World War,,,,,,,,,,
,,,,,,,,,,,Spirit of God, Psychiana Affirmations,,, Hitler,,,,,,,,,,,
,,,,,,,,,,,Donations, Blitzkrieg,,, Hitler, World War, Illustrations,,,,,,,,,
,,,,,,,,,,,Hitler, Spirit of God,,, Prayer, Psychiana Affirmations,,,,,,,,,,
,,,,,,,,,,,Portland, God-Realm,,, God-Law,45.57872,-122.71349,,,,,,,,,
,,,,,,,,,,,Psychiana Headquarters, Psychiana Staff,,, W.W. DeBolt,,,,,,,,,,,
,,,,,,,,,,,Spokane, Auditorium,,,"Los Angeles, CA",-118.261773,,,,,,,,,,
=======,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> parent of e0d5499 (Update metadata-template.csv),,,,,,,,,,,,,,,,,,,,,,,,,,
