objectid,filename,youtubeid,visualization.html,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,From,To,Coordinate_From,Coordinates_To,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CLAIRE_034,CLAIRE_034_1940_District_Officer_Leeming_Report_on_Enugu_Land.txt,,,1940 District Officer Leeming Report on Enugu Land,text,"Elders of Ngwo refused to verify thumb impressions on agreements for land acquisitions, claiming fear of forgery ",,Enugu people and the public,13/3/1940,yes,single-page; image,Aerodrome;  Rent;  Dispute;  Nike;  Land ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4205° N, 7.6075° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_035,CLAIRE_035_1940_District_Officer_report_on_the_visit_to_Ngwo_Council_to_discuss_Enugu_Crown_land.txt,,,1940 District Officer report on the the visit to Ngwo Council to to discuss Enugu Crown land,text,Discussions revealed denials of prior agreements by elders and their refusal to confirm authenticity through fingerprinting ,,Enugu people and the public,26/7/1940,yes,single-page; image,Land;  Acquisition;  Custom;  Compensation;  Rent ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.4923° N, 7.4986° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_036,CLAIRE_036_1940_Samuel_Onyia_and_Ngwo_Villages_Petition_for_three_lots_of_Land.txt,,,1940 Samuel Onyia and Ngwo Villages Petition for three plots of LAND,text,"Ngwo leaders requested specific land parcels for community use, citing their absence from government plans​ ",,Enugu people and the public,1940,yes,single-page; image,Crown Land Ngwo;  Rent;  Surrender;  Government ,Ngwo Town,"Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_037,CLAIRE_037_1940_Resident_Officer_Meeting_with_Council_Udi_Division_on_Enugu_Crown_Land.txt,,,1940 Resident Officer  Meeting with Council Udi Division on Enugu Crown Land,text,"The officer rejected council demands for additional land surrenders and rents, affirming existing deeds as valid ",,Enugu people and the public,1940,yes,single-page; image,Land;  Agreement;  Deeds;  Thumbprint;  Verification ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_038,CLAIRE_038_1941_Petition_by_Samuel_Onyia_for_Enugu_Ngwo_Town.txt,,,1941 Petition by Samuel Onyi for Enugu Ngwo Town,text,"Ngwo community leaders raised grievances over land use and compensation issues, demanding resolution and accountability​ ",,Enugu people and the public,15/12/1941,yes,single-page; image,Land;  Ngwo; Verification;  Agreement;  Refusal ,Ngwo Town,"Secretary of Government of Nigeria, Lagos","6.4956° N, 7.5050° E","6.5244° N, 3.3792° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free us,,,,
CLAIRE_039,CLAIRE_039_1941_Precis_on_Ngwo_Native_Chiefs_Petiti.txt,,,1941 Precis on Ngwo Native Chiefs PetitiOn,text,"Ngwo chiefs challenged land acquisitions as forgeries and requested compensation, rents, and access to reclaimed land ",,Enugu people and the public,1941,yes,single-page; image,Petition;  Land;  Ngwo;  Request;  Allocation ,"Enugu, Nigeria",,,,,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free us,,,,
CLAIRE_040,CLAIRE_040_1941_District_ Officer_Udi_Division_Comment_on_Crown_Land.txt,,,1941 District Officer Udi Division Comment on Crown Land,text,The officer defended the legitimacy of land deeds and outlined government payments and policies regarding land use and rents ,,Enugu people and the public,19/12/1941,yes,single-page; image,Crown Land;  Rent;  Ngwo;  Compensation;  Policy ,"District Officer, Udi Division","Resident, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_041,CLAIRE_041_1942_Petition_for_more_rent_for_waterworks_land.txt,,,1942 Petition for more rent for waterworks land,text,"Ngwo council demanded a fair increase in rent for waterworks land, comparing their compensation to other regions​ ",,Enugu people and the public,1942,yes,single-page; image,Waterworks;  Rent;  Petition;  Compensation; Ngwo ,"Ngwo Council, Ngwo","Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_042,CLAIRE_042_1942_Response_to_1942_petition_for_more_rent_for_water_works.txt,,,1942 Response to 1942 petition for mor rent for water works,text,"Government justified offering £6 yearly rent for Ngwo waterworks land, emphasizing its low value and remote location compared to other sites​ ",,Enugu people and the public,298/9/1942,yes,single-page; image,Rent; Waterworks; Compensation; Valuation; Negotiation ,"Resident Officer, Onitsha Province","Ngwo Council, Ngwo","6.1421° N, 6.7857° E","6.4956° N, 7.5050° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_043,CLAIRE_043_1943_District_Officer_Report_on_Ngwo_Water_Headworks_and_women_riot.txt,,,1943 District Officer Report on Ngwo Water Headworks and women riot,text,"Ngwo women protested restrictions on waterworks land access, leading to a tense but ultimately peaceful resolution facilitated by local leadership​ ",,Enugu people and the public,16/12/1943,yes,single-page; image,Protest;  Waterworks;  Women;  Demonstration;  Access ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_044,CLAIRE_044_1943_Simeon_Onyia_and_Ngwo_Chiefs_Petition_for_Rent.txt,,,1943 Simeon Onyia and Ngwo Chiefs Petition for Rent,text,"Chiefs rejected the government’s rent proposal, insisting on adherence to a court judgment that mandated higher compensation ",,Enugu people and the public,10/09/1943,yes,single-page; image,Petition; Rent; Compensation; Judgment; Chiefs ,Ngwo Town,"Resident Officer, Onitsha Province","6.4956° N, 7.5050° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_045,CLAIRE_045_1947_Acquisition_of_Land_for_Public_Purp.txt,,,1947 Acquisition of Land for Public Purposes,text,The policy encouraged leasing land for public use rather than outright acquisition to avoid local resistance​ ,,Enugu people and the public,04/06/1947,yes,single-page; image,Land; Acquisition; Lease; Policy; Government ,"Enugu, Nigeria",,,,,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_046,CLAIRE_046_1947_Land_Values_Established_In Eastern_Nigeria.txt,,,1947 Land Values Established In Eastern Nigeria,text,"A record of land acquisition prices in Eastern Nigeria, detailing costs for various public projects, including Enugu's waterworks and aerodrome ",,Enugu people and the public,1947,yes,single-page; image,Land; Value; Acquisition; Projects; Enugu ,"Secretary's Office, Eastern Provinces, Enugu","Resident, Onitsha Province","6.4584° N, 7.5464° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_047,CLAIRE_047_1950_Secretary_of_Province_Decision_on_Enugu_Ngwo_crown_land.txt,,,1950 Secretary of Province Decision on Enugu Ngwo crown land,text,"Government dismissed Ngwo demands for increased rents or land returns, maintaining that original compensation was fair and necessary for future development​ ",,Enugu people and the public,22/5/1950,yes,single-page; image,Crown Land; Rent; Compensation; Development;  Ngwo ,"Secretary's Office, Eastern Provinces, Enugu ","Ngwo Community, Enugu","6.4584° N, 7.5464° E ","6.4956° N, 7.5050° E ",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_049,CLAIRE_049_Miners Quarter.mp4,,,"2024 Video Of Mine Quarters, Enugu",MP4,A video recording of a polish mine quarters sold to indigenous mining community,,Enugu people and the public,2024,,Mp4,,,,,,,,,,,,,,,,
CLAIRE_050,CLAIRE_O50_Topic Frequency Heat Map.png,,,Topic Frequency Heat Map,png,"The Topic Frequency Heat Map shows the relative frequency of topics derived from the dataset, with Topic 1 appearing as the most prominent due to its dark blue shade. This indicates that Topic 1 dominates the discussion, while the lighter shades for other topics suggest they are less central. ",,Enugu people and the public,2024,,png,Crown Land; Rent; Compensation; Development;  Ngwo ,,,,,,,,,,,,,,,
CLAIRE_051,CLAIRE_051_Topic_ Modeling.png,,,Topic Modeling,png,"The Top Terms in Topics visualization highlights the key terms for five topics, with terms like ""land,"" ""government,"" and geographic identifiers such as ""Enugu"" and ""Ngwo"" dominating. Each topic reveals specific themes, such as governance, land ownership, and regional dynamics, emphasizing the dataset's focus on land and local governance in southeastern Nigeria. ",,Enugu people and the public,2024,,png,Crown Land; Rent; Compensation; Development;  Ngwo ,,,,,,,,,,,,,,,
CLAIRE_054,Interactive Scatter Plot.html,,,Interactive Scatter Plot,html,,,,,,,,,,,,,,,,,,,,,,
CLAIRE_055,008_CLAIRE_Interactive_Topic_Frequency_Heat_Map.html,,/objects/008_CLAIRE_Interactive_Topic_Frequency_Heat_Map.html,Interactive Topic Frequency Heat Map,html,,,,,,,,,,,,,,,,,,,,,,
CLAIRE_056,007_CLAIRE_Interactive_Word_Cloud.html,,/objects/007_CLAIRE_Interactive_Word_Cloud.html,Interactive Word Cloud,html,,,,,,,,,,,,,,,,,,,,,,
001_CLAIRE,006_CLAIRE_Colonial_Land_Timeline_Red_White.html,,/objects/006_CLAIRE_Colonial_Land_Timeline_Red_White.html,Colonial Land Timeline_Red_White,html,,,,,,,,,,,,,,,,,,,,,,
CLAIRE_060,001_CLAIRE_interactive_topic_model.html ,,/objects/001_CLAIRE_interactive_topic_model.html ,Interactive Topic Model,html,,,,,,,,,,,,,,,,,,,,,,
,003_CLAIRE_Interactive_Topic_Table.html ,,/objects/003_CLAIRE_Interactive_Topic_Table.html ,Interactive Topic Table,html,,,,,,,,,,,,,,,,,,,,,,
,004_CLAIRE_highlight_relationship_network.html,,/objects/004_CLAIRE_highlight_relationship_network.html,Topic Relationship Network,html,,,,,,,,,,,,,,,,,,,,,,
,005_CLAIRE_claims_frequency_visualization.html ,,/objects/005_CLAIRE_claims_frequency_visualization.html ,Claims Frequency Visualization,html,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAIRE_090,090_CLAIRE_Interactive_Map_Namibia_Africa.html,,/objects/090_CLAIRE_Interactive_Map_Namibia_Africa.html,Interactive Map Namibia,html,,,,,,,,,,,,,,,,,,,,,,
CLAIRE_All_articles_interactive_heatmap,CLAIRE_All_articles_interactive_heatmap.html,,/objects/CLAIRE_All_articles_interactive_heatmap.html,Interactive Heat Map,html,This map visually represents the geographical focus of industrial mining in Colonial Nigeria at Jos and Enugu,,,,,,,,,,,,,,,,,,,,,
CLAIRE_interactive_timeline,CLAIRE_interactive_timeline.html,,/objects/CLAIRE_interactive_timeline.html,Mining in Nigeria Interactive Timeline,html,This chart visually represents the periods of newspaper report on mining activities from 1939-2025,,,,,,,,,,,,,,,,,,,,,
CLAIRE_Enhanced_interactive_treemap,CLAIRE_Enhanced_interactive_treemap.html,,/objects/CLAIRE_Enhanced_interactive_treemap.html,NewsPapers and its Report on Mining in Nigeria,html,This chart visually represents the brands of newspaper that conveyed narratives on mining activities in Nigeria 1939-2025,,,,,,,,,,,,,,,,,,,,,
CLAIRE_Interactive_bar_chart,CLAIRE_Interactive_bar_chart.html,,/objects/CLAIRE_Interactive_bar_chart.html,Summary of Newspaper Reports on Mining ,html,This chart dipicts a summary of newspaper articles within time periods,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAIRE_Biafra_Solidarity_Geographical_Flow_Map,CLAIRE_Biafra_Solidarity_Geographical_Flow_Map.html,,/objects/CLAIRE_Biafra_Solidarity_Geographical_Flow_Map.html,ACTKBA SOLIDARITY FLOW MAP,html,A folio map displaying the solidarity network of ACTKBA,,,,,,,,,,,,,,,,,,,,,
CLAIRE_Actor_Network_Biafra_Interactive,CLAIRE_Actor_Network_Biafra_Interactive.html,,/objects/CLAIRE_Actor_Network_Biafra_Interactive.html,ACTKBA ACTOR NETWORK ,html,A network graph illustrating named entities and actors associated with ACTKBA,,,,,,,,,,,,,,,,,,,,,
CLAIRE_ACKBA_Timeline_Interactive,CLAIRE_ACKBA_Timeline_Interactive.html,,/objects/CLAIRE_ACKBA_Timeline_Interactive.html,ACTKBA  INTERACTIVE TIMELINE,html,A chart illustrating the time line of events and locations of ACTKBA between 1968-1970,,,,,,,,,,,,,,,,,,,,,
CLAIRE_ACKBA_Humanitarian_Network,CLAIRE_ACKBA_Humanitarian_Network.html,,/objects/CLAIRE_ACKBA_Humanitarian_Network.html,ACTKBA HUMANITARIAN NETWORK,html,A chat illustrating humanitarian partners of ACTKBA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Criticizing Orthodox Religion, Church in Decline,,, Jesus Christ,,,,,,,,,,,
,,,,,,,,,,,,Hitler, Mussolini,,, Hirohito, World War,,,,,,,,,,
,,,,,,,,,,,,Spirit of God, Psychiana Affirmations,,, Hitler,,,,,,,,,,,
,,,,,,,,,,,,Donations, Blitzkrieg,,, Hitler, World War, Illustrations,,,,,,,,,
,,,,,,,,,,,,Hitler, Spirit of God,,, Prayer, Psychiana Affirmations,,,,,,,,,,
,,,,,,,,,,,,Portland, God-Realm,,, God-Law,45.57872,-122.71349,,,,,,,,,
,,,,,,,,,,,,Psychiana Headquarters, Psychiana Staff,,, W.W. DeBolt,,,,,,,,,,,
,,,,,,,,,,,,Spokane, Auditorium,,,"Los Angeles, CA",-118.261773,,,,,,,,,,
=======,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> parent of e0d5499 (Update metadata-template.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,
